pod_num,deploy_time,ready_time,settle_time,pod_status,total_restarts,kt_cpu_gateway,kt_mem_gateway,kt_cpu_configwatcher,kt_mem_configwatcher,kt_cpu_envoy,kt_mem_envoy,kt_cpu_wazuh,kt_mem_wazuh,node_cpu_req,node_cpu_pct,node_mem_req,node_mem_pct,qemu_rss_mb,host_total_mb,host_used_mb,host_free_mb,host_available_mb,all_pods_ok
1,2026-04-13 03:06:09,2026-04-13 03:06:23,2026-04-13 03:07:23,Running,0,1m,6Mi,0m,200Mi,101m,201Mi,2m,402Mi,1173m,14%,2773Mi,9%,1144,31554,1180,22072,28876,OK
2,2026-04-13 03:07:27,2026-04-13 03:07:40,2026-04-13 03:08:40,Running,0,1m,6Mi,0m,201Mi,100m,201Mi,2m,402Mi,1295m,16%,3852Mi,12%,2292,31554,1229,20976,27780,OK
3,2026-04-13 03:08:45,2026-04-13 03:08:58,2026-04-13 03:09:58,Running,0,1m,6Mi,0m,201Mi,100m,200Mi,2m,402Mi,1547m,19%,4930Mi,16%,3435,31554,1287,19870,26679,OK
4,2026-04-13 03:10:05,2026-04-13 03:10:18,2026-04-13 03:11:18,Running,0,1m,6Mi,1m,201Mi,101m,200Mi,2m,401Mi,1878m,23%,6012Mi,20%,4581,31554,1324,18783,25596,OK
5,2026-04-13 03:11:26,2026-04-13 03:11:39,2026-04-13 03:12:39,Running,0,1m,6Mi,0m,201Mi,101m,201Mi,2m,402Mi,2062m,26%,7087Mi,23%,5728,31554,1364,17693,24509,OK
6,2026-04-13 03:12:47,2026-04-13 03:13:01,2026-04-13 03:14:01,Running,0,1m,6Mi,1m,201Mi,100m,201Mi,2m,401Mi,2181m,27%,8183Mi,27%,6877,31554,1435,16568,23389,OK
7,2026-04-13 03:14:10,2026-04-13 03:14:23,2026-04-13 03:15:23,Running,0,1m,7Mi,0m,201Mi,100m,201Mi,2m,402Mi,2566m,32%,9269Mi,31%,8027,31554,1499,15451,22275,OK
8,2026-04-13 03:15:34,2026-04-13 03:15:48,2026-04-13 03:16:48,Running,0,1m,6Mi,1m,200Mi,100m,201Mi,2m,402Mi,2529m,31%,10344Mi,34%,9177,31554,1525,14371,21199,OK
9,2026-04-13 03:17:00,2026-04-13 03:17:13,2026-04-13 03:18:13,Running,0,1m,6Mi,0m,201Mi,100m,201Mi,2m,402Mi,2941m,37%,11434Mi,38%,10331,31554,1574,13264,20096,OK
10,2026-04-13 03:18:26,2026-04-13 03:18:39,2026-04-13 03:19:39,Running,0,1m,6Mi,0m,200Mi,101m,201Mi,2m,402Mi,2984m,37%,12515Mi,41%,11478,31554,1630,12164,18993,OK
11,2026-04-13 03:19:54,2026-04-13 03:20:31,2026-04-13 03:21:31,Running,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,10426,31554,1730,13087,19911,OK
